#HBC,name, Vmag,B-V,U-B,U-V,(U-V)KH,ExcU,vsini,Sp,SpT,EW,EWHaBa  ,ExcEW,ExcExp,type,,,,,,
235,V591Mon,13.55,0.93,-0.5,0.43,1.65,1.22,35,K4,54,106,1.76,104.24,101.6,tt,6,41,12.8,9,26,15.7
237,V432Mon,15.02,1.02,0.22,1.24,1.91,0.67,25,K5,55,44,2.16,41.84,38.9,tt,6,41,18.26,9,33,53.8
238,MOMon,13.54,1.22,-0.16,1.06,2.34,1.28,30,K2,52,49,1.17,47.83,45,tt,6,41,31.12,9,26,58.4
240,OYMon,13.94,1.02,0.21,1.23,1.91,0.68,25,K3,53,45,1.43,43.57,40.9,tt,6,41,39.73,9,40,27.8
545,OZMon,14.21,0.97,0.19,1.16,1.8,0.64,30,K5,55,14,2.16,11.84,8.9,tt,6,41,43.81,9,40,50
557,PH@34,15.5,0.97,-0.35,0.62,1.8,1.18,nan,K3,53,60,1.43,58.57,55.9,tt,8,12,46.83,-36,19,19.3
560,PH@44,15.96,1.13,0.41,1.54,2.15,0.61,nan,K7,57,51,3.26,47.74,44.4,tt,8,14,21.75,-36,10,5.1
561,PH@51,15.85,0.8,0.23,1.03,1.19,0.16,nan,K7,57,70,3.26,66.74,63.4,tt,8,15,55.23,-35,57,59.8
566,SZCha,11.99,1.3,0.87,2.17,2.5,0.33,nan,K0,50,7,0.77,6.23,3.1,tt,10,58,20.76,-77,17,22.8
244,Sz6,11.24,1.22,0.78,2,2.34,0.34,37,K2,52,43,1.17,41.83,39,tt,10,59,8.42,-77,1,39.7
568,TWHya,10.94,0.79,-0.36,0.43,1.16,0.73,nan,K7,57,86,3.26,82.74,79.4,tt,11,1,52.04,-34,42,16.4
569,CSCha,11.63,1.17,0.55,1.72,2.24,0.52,16,K5,55,13,2.16,10.84,7.9,tt,11,2,26.24,-77,33,35.4
570,CTCha,12.36,1.24,0.3,1.54,2.38,0.84,nan,K7,57,56,3.26,52.74,49.4,tt,11,4,10.27,-76,27,18.2
575,VWCha,12.51,1.24,-0.16,1.08,2.38,1.3,26,K2,52,116,1.17,114.83,112,tt,11,8,2.76,-77,42,28.2
578,VZCha,12.75,0.81,-0.28,0.53,1.23,0.7,nan,K6,56,71,2.66,68.34,65.1,tt,11,9,24.93,-76,23,19.5
580,WWCha,13.27,1.53,0.4,1.93,2.8,0.87,56,K5,55,54,2.16,51.84,48.9,tt,11,10,1.34,-76,34,56.1
581,WXCha,14.86,1.68,0.67,2.35,2.97,0.62,nan,K7,57,51,3.26,47.74,44.4,tt,11,9,59.84,-77,37,8.1
583,WYCha,13.98,1.57,0.67,2.24,2.85,0.61,16,K7,57,52,3.26,48.74,45.4,tt,11,10,8.18,-76,29,36.2
584,HM27,15.54,1.26,-0.29,0.97,2.41,1.44,nan,K7,57,200,3.26,196.74,193.4,tt,11,10,50.78,-77,17,50.9
597,Sz65,12.74,1.44,1.1,2.54,2.69,0.15,nan,K7,57,3.3,3.26,0.04,-3.3,tt,15,39,27.72,-34,46,36.6
248,Sz68,10.31,1.27,0.89,2.16,2.43,0.27,48,K2,52,6.8,1.17,5.63,2.8,tt,15,45,12.8,-34,17,29.9
250,GQLup,11.4,0.96,-0.17,0.79,1.76,0.97,nan,K7,57,2.8,3.26,-0.46,-3.8,tt,15,49,12.12,-35,39,5.5
251,RULup,10.52,0.48,-0.8,-0.32,0.46,0.78,nan,K,50,216,0.77,215.23,212.1,tt,15,56,42.31,-37,49,14.9
609,Sz129,13.02,1.28,0.2,1.48,2.45,0.97,nan,K7,57,22,3.26,18.74,15.4,tt,15,59,16.35,-41,57,8.5
613,Sz90,14.84,1.66,0.62,2.28,2.95,0.67,nan,K7,57,28,3.26,24.74,21.4,tt,16,7,10.07,-39,11,3.3
616,HKLup,12.88,1.4,0.6,2,2.65,0.65,15,K7,57,20,3.26,16.74,13.4,tt,16,8,22.33,-39,4,39.7
630,WaOph/1,11.65,1.37,0.95,2.32,2.63,0.31,nan,K2,52,0.6,1.17,-0.57,-3.4,tt,16,11,8.94,-19,4,46.2
254,V866ScoA,12.39,1.28,-0.2,1.08,2.45,1.37,nan,K5,55,155,2.16,152.84,149.9,tt,16,11,31.4,-18,38,25.1
634,WaOph/3,10.78,1.18,0.84,2.02,2.26,0.24,nan,K0,50,0.3,0.77,-0.47,-3.6,tt,16,12,40.53,-18,59,27.3
257,Haro1-4,13.41,1.8,0.38,2.18,3.05,0.87,nan,K6,56,49,2.66,46.34,43.1,tt,16,25,10.61,-23,19,15.2
259,SR4,12.89,1.42,0.21,1.63,2.67,1.04,9,K6,56,84,2.66,81.34,78.1,tt,16,25,56.22,-24,20,47.5
261,Haro1-8,13.84,1.66,0.65,2.31,2.95,0.64,nan,K5,55,36,2.16,33.84,30.9,tt,16,26,47.55,-23,14,54.8
264,SR9,11.38,1.26,0.66,1.92,2.41,0.49,16,K5,55,12,2.16,9.84,6.9,tt,16,27,40.35,-24,22,2.4
268,Haro1-16 ,12.59,1.43,0.67,2.1,2.68,0.58,17,K2,52,54,1.17,52.83,50,tt,16,31,33.53,-24,27,33.4
270,V1121Oph,11.48,1.23,-0.04,1.19,2.36,1.17,nan,K5,55,71,2.16,68.84,65.9,tt,16,49,15.24,-14,22,6.9
274,LkH@345,13.04,1.43,0.48,1.91,2.68,0.77,nan,K7,57,35,3.26,31.74,28.4,tt,17,10,48.02,-27,40,50.3
664,10#4662A ,10.6,1.28,0.45,1.73,2.45,0.72,nan,K5,55,6,2.16,3.84,0.9,tt,18,20,22.78,-10,11,12.1
286,SCrA,11.12,0.78,-0.27,0.51,1.13,0.62,nan,K6,56,90,2.66,87.34,84.1,tt,19,1,8.54,-36,57,19.9
679,WaCrA/3,13.72,1.45,0.01,1.46,2.7,1.24,nan,K4,54,0.7,1.76,-1.06,-3.7,tt,19,2,20.31,-36,55,19.8
311,LkH@245,15.27,1.49,0.51,2,2.75,0.75,nan,K4,54,35,1.76,33.24,30.6,tt,21,53,30.37,47,13,14.7
318,BMAnd,12.1,1.05,0.59,1.64,1.97,0.33,nan,K5,55,25,2.16,22.84,19.9,tt,23,37,38.49,48,24,12.6
319,MacCH3,14.5,1.09,-0.15,0.94,2.06,1.12,nan,K2,52,11,1.17,9.83,7,tt,23,54,26.68,66,54,18.8
320,MacCH19,14.62,1.38,-0.69,0.69,2.64,1.95,nan,K3,53,103,1.43,101.57,98.9,tt,23,57,34.62,64,46,49.2
323,MacCH18n ,14.21,1.29,0.02,1.31,2.48,1.17,nan,K7,57,118,3.26,114.74,111.4,tt,0,2,13.27,64,54,25.3
8,LkH@262,14.56,0.84,-0.4,0.44,1.39,0.95,nan,M0,60,31,6.04,24.96,22.3,tt,2,56,7.94,20,3,24.2
9,LkH@263,14.64,1.39,0.19,1.58,2.65,1.07,nan,M2,62,30,9.12,20.88,18.8,tt,2,56,8.35,20,3,38.1
23,FMTau,14.22,0.78,-0.4,0.38,1.13,0.75,nan,M0,60,71,6.04,64.96,62.3,tt,4,14,13.46,28,12,51.1
24,FNTau,14.95,1.69,0.84,2.53,2.98,0.45,nan,M5,65,25,16.9,8.1,7,tt,4,14,14.59,28,27,59.1
26,FPTau,13.9,1.53,1.03,2.56,2.8,0.24,nan,M4,64,38,13.76,24.24,23.3,tt,4,14,47.28,26,46,27.5
27,CXTau,13.72,1.55,0.85,2.4,2.82,0.42,20,M2.5,62.5,20,10.11,9.89,7.8,tt,4,14,47.84,26,48,12.2
630,DDTau,14.11,0.92,-0.46,0.46,1.62,1.16,nan,M1,61,182,7.42,174.58,171.9,tt,4,18,31.13,28,16,30.1
31,CZTau,15.33,1.58,1.16,2.74,2.86,0.12,nan,M1.5,61.5,4,8.23,-4.23,-7.2,tt,4,18,31.59,28,16,59.4
33,DETau,13,1.38,-0.16,1.22,2.64,1.42,10,M2:,62,54,9.12,44.88,42.8,tt,4,21,55.61,27,55,7.2
36,DFTau,11.49,0.89,-0.42,0.47,1.52,1.05,22,"M0,1",60.5,60,6.7,53.3,49.9,tt,4,27,2.77,25,42,23.2
37,DGTau,12.01,0.93,-0.3,0.63,0.65,0.02,nan,M0,60,113,6.04,106.96,98.26,tt,4,27,4.67,26,6,16.9
38,DHTau,13.92,1.4,0.01,1.41,2.65,1.24,nan,M1,61,53,7.42,45.58,42.9,tt,4,29,41.5,26,32,59.8
41,IQTau,13.3,1.63,0.67,2.3,2.92,0.62,12,M0.5,60.5,7.8,6.7,1.1,-2.3,tt,4,29,51.5,26,6,46.5
44,FXTau,13.9,1.64,1.08,2.72,2.93,0.21,10,M1,61,10,7.42,2.58,-0.1,tt,4,30,29.59,24,26,45.8
46,ZZTau,14.34,1.52,0.48,2,2.79,0.79,nan,M3:,63,15,11.2,3.8,2.8,tt,4,30,51.36,24,42,23.1
47,V927Tau,14.63,1.52,0.95,2.47,2.79,0.32,19,M5.5,65.5,4.7,18.73,-14.03,-19.4,tt,4,31,23.77,24,10,53.7
48,HKTau,15.75,1.73,0.84,2.57,3,0.43,22,M0.5,60.5,29,6.7,22.3,18.9,tt,4,31,50.55,24,24,18.4
51,V710Tau,13.65,1.55,0.33,1.88,2.82,0.94,17,M1,61,48,7.42,40.58,37.9,tt,4,31,57.75,18,21,36.9
52,UZTau,12.86,1.19,-0.31,0.88,2.29,1.41,nan,"M1,3",62,82,9.12,72.88,70.8,tt,4,32,42.94,25,52,32.1
55,GHTau,12.95,1.53,0.58,2.11,2.8,0.69,28,"M2,3",62.5,15,10.11,4.89,2.8,tt,4,33,6.23,24,9,35.4
62,DMTau,13.99,1.15,-0.15,1,2.2,1.2,10,M1:,61,139,7.42,131.58,128.9,tt,4,33,48.7,18,10,10.7
64,HOTau,14.84,1.14,-0.35,0.79,2.17,1.38,nan,M0.5,60.5,115,6.7,108.3,104.9,tt,4,35,20.23,22,32,14.5
65,DNTau,12.36,1.45,0.74,2.19,2.69,0.5,8,M0,60,12,6.04,5.96,3.3,tt,4,35,27.35,24,14,59.8
67,DOTau,14.01,1.42,-0.06,1.36,2.67,1.31,nan,M0:,60,100,6.04,93.96,91.3,tt,4,38,28.57,26,10,50.5
68,VYTau,13.71,1.51,1.11,2.62,2.78,0.16,10,M0,60,4,6.04,-2.04,-4.7,tt,4,39,17.38,22,47,54.1
70,DPTau,14.22,1.28,-0.2,1.08,2.47,1.39,nan,M0.5,60.5,85,6.7,78.3,74.9,tt,4,42,37.66,25,15,38.1
71,GOTau,14.89,1.46,0.23,1.69,2.71,1.02,21,M0,60,81,6.04,74.96,72.3,tt,4,43,3.05,25,20,19.5
72,DQTau,13.16,1.39,0.36,1.75,2.65,0.9,nan,"M0,1",60.5,113,6.7,106.3,102.9,tt,4,46,53.03,17,0,0.4
103,VXOri,14.8,1.38,-0.22,1.16,2.64,1.48,nan,M0,60,35,6.04,28.96,26.3,tt,5,33,34.17,-4,43,45.9
104,VYOri,15.22,0.79,-1.32,-0.53,1.14,1.67,nan,M2.5,62.5,24,10.11,13.89,11.8,tt,5,33,35.91,-5,1,32.8
110,SUOri,15.32,0.57,-0.41,0.16,0.63,0.47,nan,M1,61,29,7.42,21.58,18.9,tt,5,33,55.84,-4,47,50.1
117,XXOri,14.87,1.01,-0.38,0.63,1.93,1.3,nan,M2.5,62.5,6.7,10.11,-3.41,-5.5,tt,5,34,36.15,-6,5,34.8
124,KPOri,14.71,1.48,-0.54,0.94,2.74,1.8,nan,M0,60,127,6.04,120.96,118.3,tt,5,34,55.83,-5,41,26.4
145,TWOri,15.01,0.68,-0.34,0.34,0.9,0.56,nan,M0.5,60.5,76,6.7,69.3,65.9,tt,5,35,31.02,-6,45,17.3
474,V571Ori,14.43,1.52,0.55,2.07,2.79,0.72,nan,M0,60,13,6.04,6.96,4.3,tt,5,35,41,-6,22,46.5
151,V573Ori,15.28,1.27,-0.7,0.57,2.43,1.86,nan,M0,60,258,6.04,251.96,249.3,tt,5,35,42.73,-6,34,51.4
163,V951Ori,15.4,1.45,0.23,1.68,2.69,1.01,nan,M1,61,23,7.42,15.58,12.9,tt,5,36,27.47,-5,30,55.5
166,BCOri,15.07,1.01,-0.97,0.04,1.93,1.89,nan,M0,60,151,6.04,144.96,142.3,tt,5,36,37.23,-5,26,25.8
214,LPMon,15.4,1.23,-0.42,0.81,2.36,1.55,nan,M0,60,58,6.04,51.96,49.3,tt,6,40,41.32,9,51,2.2
540,OVMon,15.11,1.19,0.57,1.76,2.29,0.53,nan,M0,60,16,6.04,9.96,7.3,tt,6,41,20.99,9,33,36.2
553,PH@12,15.24,1.52,0.64,2.16,2.79,0.63,nan,M1.5,61.5,16,8.23,7.77,4.8,tt,8,8,22.22,-36,3,48.1
554,PH@14,15.77,1.46,0.4,1.86,2.71,0.85,nan,M2:,62,22,9.12,12.88,11.9,tt,8,8,33.83,-36,8,10.8
555,PH@15,14.81,1.11,-0.63,0.48,2.1,1.62,nan,M3,63,130,11.2,118.8,117.8,tt,8,8,46.76,-36,7,53.6
556,PH@21,16.3,1.35,-0.25,1.1,2.61,1.51,nan,M4,64,48,13.76,34.24,33.3,tt,8,10,30.81,-36,1,48
564,SXCha,14.65,1.23,0.34,1.57,2.36,0.79,nan,M0.5,60.5,21,6.7,14.3,10.9,tt,10,56,1.13,-77,24,39
565,SYCha,13.03,1.29,0.36,1.65,2.5,0.85,nan,M0:,60,49,6.04,42.96,40.3,tt,10,56,31.96,-77,11,38.6
567,TWCha,13.08,0.85,-0.16,0.69,1.44,0.75,15,M0:,60,26,6.04,19.96,17.3,tt,10,59,2.56,-77,22,40.6
572,Sz18,15.35,1.7,0.75,2.45,2.98,0.53,nan,"M2,3",62.5,12,10.11,1.89,-0.2,tt,11,7,20.3,-76,3,2.4
573,VVCha,14.8,1.26,-0.28,0.98,2.42,1.44,nan,M1.5,61.5,88,8.23,79.77,76.8,tt,11,7,29.57,-76,52,10.6
574,Sz21,15.34,1.71,0.46,2.17,2.99,0.82,nan,M0.5,60.5,94,6.7,87.3,83.9,tt,11,7,44.95,-77,39,40.9
585,WZCha,15.26,0.81,-0.85,-0.04,1.22,1.26,nan,M1,61,313,7.42,305.58,302.9,tt,11,10,54.51,-76,34,30.9
586,XXCha,15.28,1.39,-0.19,1.2,2.65,1.45,nan,M2,62,87,9.12,77.88,75.8,tt,11,11,40.86,-76,20,12.6
590,HM32,13.5,1.44,0.52,1.96,2.68,0.72,nan,M0.5,60.5,32,6.7,25.3,21.9,tt,11,17,38.15,-77,4,36.8
249,GWLup,13.83,1.24,-0.11,1.13,2.38,1.25,nan,M1.5,61.5,90,8.23,81.77,78.8,tt,15,46,44.68,-34,30,35.4
599,HMLup,14.84,1.12,-0.6,0.52,2.13,1.61,nan,M4,64,155,13.76,141.24,140.3,tt,15,47,50.7,-35,28,35.4
601,HNLup,14.18,1.55,0.22,1.77,2.82,1.05,nan,M1.5,61.5,50,8.23,41.77,38.8,tt,15,48,5.22,-35,15,52.6
603,Sz77,12.5,1.3,0.78,2.08,2.53,0.45,15,M0,60,17,6.04,10.96,8.3,tt,15,51,46.95,-35,56,45
